a52dec 0.8.0-2
aalib 1.4rc5-16
accountsservice 23.13.9-1
acl 2.3.1-3
acpi 1.7-3
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-1
adobe-source-han-sans-cn-fonts 2.004-1
adobe-source-han-sans-jp-fonts 2.004-1
adobe-source-han-sans-kr-fonts 2.004-1
adwaita-cursors 44.0-1
adwaita-icon-theme 44.0-1
alsa-card-profiles 1:0.3.71-2
alsa-firmware 1.2.4-3
alsa-lib 1.2.9-1
alsa-plugins 1:1.2.7.1-2
alsa-topology-conf 1.2.5.1-3
alsa-ucm-conf 1.2.9-1
alsa-utils 1.2.9-1
amd-ucode 20230404.2e92a49f-1
ansible 8.0.0-1
ansible-core 2.15.0-1
aom 3.6.1-1
apache-tools 2.4.57-1
apparmor 3.1.4-1
appstream 0.16.2-1
appstream-glib 0.8.2-2
apr 1.7.3-1
apr-util 1.6.3-1
arandr 0.1.11-2
arc-gtk-theme-eos 20221218-1
arch-install-scripts 28-1
archiso 71-1
archlinux-keyring 20230504-1
archlinux-xdg-menu 0.7.6.6-1
argon2 20190702-5
asciidoc 10.2.0-3
asciidoctor 2.0.20-1
at-spi2-core 2.48.3-1
atkmm 2.28.3-1
attr 2.5.1-3
audacious 4.3.1-1
audacious-plugins 4.3.1-1
audit 3.1.1-1
autoconf 2.71-4
autojump 22.5.3-9
automake 1.16.5-2
avahi 0.8+22+gfd482a7-4
awesome-git 4.3.1588.gb54e50ad6-1
awesome-terminal-fonts 1.1.0-4
aws-cli 1.27.89-2
b43-fwcutter 019-4
base 3-1
base-devel 1-1
bash 5.1.016-4
bash-completion 2.11-3
bat 0.23.0-3
bc 1.07.1-4
bind 9.18.15-1
binutils 2.40-6
bison 3.8.2-5
blueman 2.3.5-2
bluez 5.66-1
bluez-libs 5.66-1
bluez-utils 5.66-1
boost-libs 1.81.0-6
brave-bin 1:1.52.117-1
bridge-utils 1.7.1-1
brotli 1.0.9-12
btop 1.2.13-1
btrfs-progs 6.3-2
bubblewrap 0.8.0-1
bzip2 1.0.8-5
c-ares 1.19.1-1
ca-certificates 20220905-1
ca-certificates-mozilla 3.89.1-1
ca-certificates-utils 20220905-1
cairo 1.17.8-2
cairomm 1.14.4-1
cantarell-fonts 1:0.303.1-1
capstone 4.0.2-7
cava 0.8.3-1
cdparanoia 10.2-8
cdrtools 3.02a09-5
chafa 1.12.4-3
charles 4.6.4-1
chromaprint 1.5.1-7
chrono-date 3.0.1-3
clang 15.0.7-9
clutter 1.26.4-2
clutter-gtk 1.8.4-3
cmake 3.26.4-1
cogl 1.22.8-2
colord 1.4.6-1
colord-sane 1.4.6-1
compiler-rt 15.0.7-2
confuse 3.3-3
conky 1.18.1-1
containerd 1.7.1-1
coreutils 9.3-1
cpupower 6.3-2
cryptsetup 2.6.1-3
cups 1:2.4.3-1
cups-filters 1.28.17-4
cups-pdf 3.0.1-7
curl 8.1.2-1
cython 0.29.35-1
dav1d 1.2.1-1
db 6.2.32-1
db5.3 5.3.28-2
dbus 1.14.6-2
dbus-glib 0.112-2
dbus-python 1.3.2-2
dconf 0.40.0-2
debugedit 5.0-5
default-cursors 2-1
desktop-file-utils 0.26-2
device-mapper 2.03.21-1
dex 0.9.0-1
dhclient 4.4.3.P1-2
dialog 1:1.3_20230209-1
diff-so-fancy 1.4.3-1
diffutils 3.10-1
ding-libs 0.6.2-1
dkms 3.0.11-1
dmenu 5.2-1
dmidecode 3.5-1
dmraid 1.0.0.rc16.3-14
dnsmasq 2.89-1
dnssec-anchors 20190629-3
docbook-xml 4.5-9
docbook-xsl 1.79.2-7
docker 1:24.0.2-1
docker-compose 2.18.1-1
dosfstools 4.2-3
double-conversion 3.3.0-1
downgrade 11.3.0-1
dtc 1.7.0-4
duf 0.8.1-2
duktape 2.7.0-5
dunst 1.9.2-1
e2fsprogs 1.47.0-1
edk2-ovmf 202305-1
efibootmgr 18-2
efitools 1.9.2-5
efivar 38-3
egl-wayland 2:1.1.11-4
eglexternalplatform 1.1-2
ell 0.57-1
emacs 28.2-2
enchant 2.3.4-1
endeavouros-keyring 20230523-1
endeavouros-mirrorlist 23.3-1
endeavouros-skel-default 1.9-1
endeavouros-skel-i3wm 4.8-1
endeavouros-theming 22.12.3.3-1
endeavouros-xfce4-terminal-colors 5-1
eos-apps-info 1.6-1
eos-bash-shared 23-19.1
eos-hooks 1.13-1
eos-lightdm-slick-theme 3.2-1
eos-log-tool 23-1
eos-packagelist 2.1-1
eos-qogir-icons 5-1
eos-quickstart 1.3.1-1
eos-rankmirrors 2.12-1
eos-translations 23-22
erofs-utils 1.6-1
ethtool 1:6.3-1
exa 0.10.1-7
exfatprogs 1.2.1-1
exiv2 0.27.6-2
exo 4.18.0-1
expac 10-5
expat 2.5.0-1
expect 5.45.4-4
f2fs-tools 1.16.0-2
faac 1.30-4
faad2 2.10.1-1
fakeroot 1.31-2
fastfetch 1.11.0-1
feh 3.10-1
ffmpeg 2:6.0-8
ffmpegthumbnailer 2.2.2-5
fftw 3.3.10-4
file 5.44-3
file-roller 43.0-2
filesystem 2023.01.31-1
findutils 4.9.0-3
firefox 113.0.2-1
firewalld 1.3.2-1
flac 1.4.2-1
flameshot 12.1.0-1
flat-remix-git 20220525.r6.ga4f8f0328-1
flat-remix-gtk 20220627-1
flatpak 1:1.15.4-1
flex 2.6.4-5
fluidsynth 2.3.2-1
fmt 9.1.0-4
fontconfig 2:2.14.2-1
foomatic-db 3:20230402-1
foomatic-db-engine 4:20220521-1
foomatic-db-gutenprint-ppds 5.3.4-2
foomatic-db-nonfree 3:20230402-1
foomatic-db-nonfree-ppds 3:20230402-1
foomatic-db-ppds 3:20230402-1
freeglut 3.4.0-1
freetype2 2.13.0-1
frei0r-plugins 2.3.0-1
fribidi 1.0.13-2
fsarchiver 0.8.7-1
fuse-common 3.14.1-1
fuse2 2.9.9-4
fuse3 3.14.1-1
fzf 0.41.1-1
galculator 2.1.4-8
garcon 4.18.1-1
gavl 1.4.0-7
gawk 5.2.2-1
gc 8.2.4-1
gcc 13.1.1-1
gcc-libs 13.1.1-1
gcr 3.41.1-4
gcr-4 4.1.0-1
gd 2.3.3-6
gdb 13.1-3
gdb-common 13.1-3
gdbm 1.23-2
gdk-pixbuf2 2.42.10-2
geany 1.38-3
gendesk 1.0.9-3
geoclue 2.7.0-1
geocode-glib 3.26.4-3
geocode-glib-common 3.26.4-3
geoip 1.6.12-2
geoip-database 20230519-1
gettext 0.21.1-5
gfbgraph 0.2.5-1
ghc 9.0.2-3
ghc-libs 9.0.2-3
ghostscript 10.01.1-1
giflib 5.2.1-2
girara 0.4.0-1
git 2.41.0-1
glances 3.4.0.3-1
glib-networking 1:2.76.0-1
glib2 2.76.3-1
glibc 2.37-3
glibmm 2.66.6-1
globalprotect-openconnect 1.4.9-1
glslang 12.1.0-2
glu 9.0.2-3
gmime3 3.2.13-2
gmp 6.2.1-2
gnome-bluetooth 3.34.5-4
gnome-epub-thumbnailer 1.7-1
gnome-icon-theme 3.12.0-7
gnome-icon-theme-symbolic 3.12.0-6
gnome-online-accounts 3.48.0-2
gnome-themes-extra 3.28+r6+g45b1d457-1
